date,open,high,low,close,volume
2005-01-03,35.9862,36.4262,34.7662,35.1562,11691300.0
2005-01-04,35.3362,35.4362,33.7262,34.1362,10628300.0
2005-01-05,34.1362,34.6162,33.5462,33.5462,10885300.0
2005-01-06,33.9662,34.4962,33.6662,33.8762,8238900.0
2005-01-07,34.1662,34.3362,33.4662,33.6762,8555700.0
2005-01-10,33.6762,34.4662,33.6062,34.0362,6028100.0
2005-01-11,33.7362,33.7462,33.1062,33.3562,7592600.0
2005-01-12,33.4162,34.0662,32.7962,33.8662,10574200.0
2005-01-13,33.7962,33.9362,32.6462,32.7862,7669700.0
2005-01-14,32.9662,33.4862,32.8862,33.2762,5986900.0
2005-01-18,33.0862,34.1262,32.8362,33.9962,6601700.0
2005-01-19,33.9862,34.0862,33.0662,33.0862,6567900.0
2005-01-20,32.8962,33.3162,32.4162,32.5962,8661700.0
2005-01-21,32.7862,32.8662,31.6162,31.6762,7901200.0
2005-01-24,31.9462,32.1462,31.4562,31.5862,9877700.0
2005-01-25,31.9262,32.8462,31.8862,32.4262,9751100.0
2005-01-26,32.7562,33.0862,32.5162,32.6262,7851200.0
2005-01-27,32.2862,32.6662,32.0462,32.4062,8393800.0
2005-01-28,32.3762,32.4862,31.5962,32.2762,7791600.0
2005-01-31,32.8162,32.8862,32.3162,32.6362,5333900.0
2005-02-01,32.8562,33.4762,32.6762,33.2362,4800300.0
2005-02-02,33.2962,33.9662,33.1862,33.7162,4660100.0
2005-02-03,33.5362,33.7862,33.2762,33.7362,4818700.0
2005-02-04,33.6362,35.0462,33.5962,34.8362,6413300.0
2005-02-07,34.7662,35.1062,34.7462,34.8462,3710300.0
2005-02-08,34.8962,35.2562,34.7462,35.0862,5046500.0
2005-02-09,35.2562,35.3162,34.4662,34.5762,7444900.0
2005-02-10,34.8662,35.5362,34.7662,35.3362,5221000.0
2005-02-11,35.2562,36.2262,34.9762,35.9262,4722600.0
2005-02-14,35.8462,35.9562,35.6762,35.8162,3689300.0
2005-02-15,35.8962,36.4462,35.7562,36.3062,4711000.0
2005-02-16,36.1162,36.5162,35.9262,36.2862,4285800.0
