date,open,high,low,close,volume
2005-01-03,36.9799,37.4199,35.7599,36.1499,11691300.0
2005-01-04,36.3299,36.4299,34.7199,35.1299,10628300.0
2005-01-05,35.1299,35.6099,34.5399,34.5399,10885300.0
2005-01-06,34.9599,35.4899,34.6599,34.8699,8238900.0
2005-01-07,35.1599,35.3299,34.4599,34.6699,8555700.0
2005-01-10,34.6699,35.4599,34.5999,35.0299,6028100.0
2005-01-11,34.7299,34.7399,34.0999,34.3499,7592600.0
2005-01-12,34.4099,35.0599,33.7899,34.8599,10574200.0
2005-01-13,34.7899,34.9299,33.6399,33.7799,7669700.0
2005-01-14,33.9599,34.4799,33.8799,34.2699,5986900.0
2005-01-18,34.0799,35.1199,33.8299,34.9899,6601700.0
2005-01-19,34.9799,35.0799,34.0599,34.0799,6567900.0
2005-01-20,33.8899,34.3099,33.4099,33.5899,8661700.0
2005-01-21,33.7799,33.8599,32.6099,32.6699,7901200.0
2005-01-24,32.9399,33.1399,32.4499,32.5799,9877700.0
2005-01-25,32.9199,33.8399,32.8799,33.4199,9751100.0
2005-01-26,33.7499,34.0799,33.5099,33.6199,7851200.0
2005-01-27,33.2799,33.6599,33.0399,33.3999,8393800.0
2005-01-28,33.3699,33.4799,32.5899,33.2699,7791600.0
2005-01-31,33.8099,33.8799,33.3099,33.6299,5333900.0
2005-02-01,33.8499,34.4699,33.6699,34.2299,4800300.0
2005-02-02,34.2899,34.9599,34.1799,34.7099,4660100.0
2005-02-03,34.5299,34.7799,34.2699,34.7299,4818700.0
2005-02-04,34.6299,36.0399,34.5899,35.8299,6413300.0
2005-02-07,35.7599,36.0999,35.7399,35.8399,3710300.0
2005-02-08,35.8899,36.2499,35.7399,36.0799,5046500.0
2005-02-09,36.2499,36.3099,35.4599,35.5699,7444900.0
2005-02-10,35.8599,36.5299,35.7599,36.3299,5221000.0
2005-02-11,36.2499,37.2199,35.9699,36.9199,4722600.0
2005-02-14,36.8399,36.9499,36.6699,36.8099,3689300.0
2005-02-15,36.8899,37.4399,36.7499,37.2999,4711000.0
2005-02-16,37.1099,37.5099,36.9199,37.2799,4285800.0
2005-02-17,37.2899,37.3899,36.4999,36.5499,5746600.0
2005-02-18,36.3099,36.6699,36.0299,36.6399,4906500.0
2005-02-22,36.1599,36.4999,34.8199,34.8399,8958900.0
2005-02-23,35.1799,35.7799,35.0199,35.6599,6457800.0
2005-02-24,35.4099,36.3799,35.1899,36.2399,7124200.0
2005-02-25,36.2599,37.2499,36.1299,37.1899,4984900.0
2005-02-28,36.9399,37.8099,36.0899,36.5299,7471500.0
2005-03-01,36.5899,37.3199,36.5899,37.0599,5316000.0
2005-03-02,36.6399,37.5199,36.5699,36.8999,7239700.0
2005-03-03,37.2499,37.4999,36.4699,37.0799,7779800.0
2005-03-04,37.7399,38.4399,37.4799,38.3699,6123100.0
2005-03-07,38.2199,38.6599,38.1299,38.1599,4124200.0
2005-03-08,38.1199,38.3499,37.7899,37.9899,7533400.0
2005-03-09,37.6599,38.0599,36.8299,36.8399,5060900.0
2005-03-10,37.0399,37.5599,36.5699,37.2999,5215200.0
