date,open,high,low,close,volume
2001-01-02,62.0506,62.2106,57.6106,58.8606,8732200.0
2001-01-03,58.3606,66.0506,57.7106,65.0506,17523900.0
2001-01-04,64.9906,65.5206,63.0506,63.6006,9095400.0
2001-01-05,63.5206,63.6706,59.2406,59.2406,12884700.0
2001-01-08,59.9306,60.2406,57.6706,60.2406,6552200.0
2001-01-09,61.1006,61.5506,59.4706,59.8906,5602700.0
2001-01-10,59.0506,62.1706,58.8606,62.1706,8725200.0
2001-01-11,61.1406,63.5306,61.1406,62.3006,6697900.0
2001-01-12,62.7406,63.7706,61.3306,62.0506,7064900.0
2001-01-16,62.0506,63.2406,61.5706,62.8906,8416500.0
2001-01-17,64.8906,65.1006,62.6906,63.5006,7800500.0
2001-01-18,63.4906,65.7506,62.9906,64.8306,8089500.0
2001-01-19,66.2406,66.2406,63.9306,64.0706,7775800.0
2001-01-22,64.3006,65.8306,63.6106,64.9606,7037200.0
2001-01-23,64.5206,66.7106,64.2106,66.0206,8453800.0
2001-01-24,66.3006,67.3606,65.8906,66.4306,6174100.0
2001-01-25,66.3006,67.3006,65.7106,66.0806,10807000.0
2001-01-26,65.2106,66.1706,64.5006,65.9306,7063300.0
2001-01-29,65.5506,66.9506,65.4206,66.6506,6651300.0
2001-01-30,66.3506,67.9706,65.8406,67.8506,7025100.0
2001-01-31,67.4506,68.7506,66.6506,67.0706,9672500.0
2001-02-01,67.1506,68.0006,66.3006,67.9806,8223800.0
2001-02-02,67.4506,68.0406,64.8006,64.8506,8187900.0
2001-02-05,64.8506,65.9906,64.8006,65.8406,4280900.0
2001-02-06,65.3506,66.7506,65.2706,65.4406,7092200.0
2001-02-07,64.7706,65.4506,63.7306,64.7406,5689800.0
2001-02-08,64.8506,65.4506,63.1506,63.1706,5876800.0
2001-02-09,63.4006,63.4006,61.3106,61.8906,9871200.0
2001-02-12,61.7506,63.5506,61.7506,63.4006,5790300.0
2001-02-13,63.7506,64.2206,62.0506,62.3106,6583200.0
2001-02-14,62.7006,62.7006,60.7106,62.1106,8390200.0
2001-02-15,62.8906,63.5706,62.0406,63.3906,5881800.0
2001-02-16,61.0506,61.3406,59.3506,60.4506,6432800.0
2001-02-20,61.0906,61.1906,58.1506,58.4406,5755300.0
2001-02-21,57.9506,58.8906,55.5506,55.6706,10789800.0
2001-02-22,56.4006,56.5906,53.0706,55.8606,21274700.0
2001-02-23,55.1306,55.5906,51.8506,55.0106,16180100.0
2001-02-26,55.8506,57.6706,54.5506,57.6706,10071200.0
2001-02-27,56.8506,57.8906,55.5606,56.4906,11298900.0
2001-02-28,56.8006,56.8906,53.3206,54.0006,14257100.0
2001-03-01,54.1006,54.8006,51.8006,54.6506,14456700.0
2001-03-02,52.5506,55.7006,52.3506,53.6606,12535400.0
2001-03-05,54.2006,54.8306,53.8606,54.7906,5234300.0
2001-03-06,56.4006,57.8006,55.5406,56.1306,6910400.0
2001-03-07,56.9506,57.0906,55.8106,57.0306,6299300.0
2001-03-08,56.6506,57.2906,56.1906,57.1706,5952000.0
2001-03-09,56.1506,56.1506,53.1606,53.4106,10014000.0
2001-03-12,52.3906,52.5506,47.8006,48.1306,12786500.0
2001-03-13,49.4506,50.4906,47.5806,50.0706,12765100.0
2001-03-14,47.1006,49.3406,45.8006,47.7006,17944100.0
2001-03-15,48.5006,48.9106,47.4106,47.7306,8661700.0
2001-03-16,47.1806,47.4506,44.8606,45.0606,36444400.0
2001-03-19,45.8106,47.7406,44.8706,47.4006,10029100.0
2001-03-20,47.9506,48.5106,44.1506,44.2506,14470800.0
2001-03-21,44.2306,45.3106,41.9506,42.3106,18326300.0
2001-03-22,42.0706,42.6506,38.0906,41.1706,26155700.0
2001-03-23,43.3006,44.7106,41.5506,44.5306,12807500.0
2001-03-26,45.7506,46.3206,44.8206,45.9906,9924800.0
2001-03-27,45.6706,48.7006,45.3306,48.3606,12762700.0
2001-03-28,46.9506,47.0006,44.9506,45.0906,10690800.0
2001-03-29,44.7506,46.5506,39.3906,45.5306,11930500.0
2001-03-30,45.6006,46.7406,44.5506,46.7406,8957900.0
2001-04-02,46.3506,47.4306,43.8506,44.2506,10466500.0
2001-04-03,44.0306,44.2006,40.1106,40.4406,12519900.0
2001-04-04,40.6306,42.1506,39.3506,40.9006,14778300.0
2001-04-05,43.3506,45.5406,42.5506,45.1006,16180200.0
2001-04-06,44.0406,44.4506,42.1106,43.3506,14827200.0
2001-04-09,44.0506,45.0406,42.8306,44.6106,8935300.0
2001-04-10,45.5006,47.8006,45.2206,46.7006,16173500.0
2001-04-11,48.8306,49.0406,46.1906,46.7806,12557000.0
2001-04-12,46.3506,48.9906,46.0106,48.9006,9142900.0
2001-04-16,48.3406,48.9406,46.9606,47.6506,7101700.0
2001-04-17,47.3606,49.7106,47.0706,49.3106,10498100.0
2001-04-18,51.1106,56.0506,50.7406,54.0506,20229000.0
2001-04-19,54.3006,55.9106,53.6306,55.7006,13688300.0
2001-04-20,54.9506,55.4506,53.7106,54.5506,7550500.0
2001-04-23,53.7006,53.9406,51.3606,52.2906,8397700.0
2001-04-24,52.5706,53.7006,51.1506,51.6306,9960400.0
2001-04-25,51.4706,53.7206,51.0006,53.1606,8218000.0
2001-04-26,53.7806,55.2706,53.5506,53.7706,10497500.0
2001-04-27,54.9706,55.8906,54.2506,55.8306,7914500.0
2001-04-30,56.5006,57.3206,54.3506,54.9606,9330000.0
2001-05-01,55.1206,57.2006,54.6506,57.1006,10345200.0
2001-05-02,57.4606,57.7406,56.0506,56.8706,9415100.0
2001-05-03,56.1806,56.2006,54.2706,55.2606,9856000.0
2001-05-04,53.7006,57.4006,53.4906,57.3906,12046900.0
2001-05-07,56.9106,57.4306,56.2806,56.2906,7064600.0
2001-05-08,56.9106,57.1506,55.6106,56.2306,6881800.0
2001-05-09,55.3006,56.6006,55.1106,55.7006,9467700.0
2001-05-10,57.3106,57.5506,55.8206,56.0706,6836100.0
2001-05-11,56.0506,56.5406,54.4506,55.2006,7661800.0
2001-05-14,54.9506,55.4906,54.5106,55.4506,7733900.0
2001-05-15,55.6006,56.5506,54.9006,56.0306,9703100.0
